,name,old_product_price,new_product_price_after,new_product_price_before,Kích thước màn hình,Công nghệ màn hình,Tính năng màn hình,Tần số quét,Kiểu màn hình,Camera sau,Quay video,Tính năng camera,Camera trước,Quay video trước,Chipset,Loại CPU,GPU,Dung lượng RAM,Bộ nhớ trong,Khe cắm thẻ nhớ,Pin,Công nghệ sạc,Cổng sạc,Thẻ SIM,Hệ điều hành,Hồng ngoại,Jack tai nghe 3.5,Công nghệ NFC,Hỗ trợ mạng,Wi-Fi,Bluetooth,GPS,Kích thước,Trọng lượng,Chất liệu mặt lưng,Chất liệu khung viền,"Chỉ số kháng nước, bụi",Tiện ích khác,Công nghệ âm thanh,Cảm biến vân tay,Các loại cảm biến,Tính năng đặc biệt,Thời điểm ra mắt,Độ phân giải màn hình,Công nghệ - Tiện ích,Loại màn hình,Hệ thống làm mát,Cảm biến,Tương thích
728,OPPO Find N2,,,,7.0 inches,AMOLED,"Màn hình chính: Có thể gập, LTPO AMOLED, 120Hz, HDR10+, 1792 x 1920 pixels
Màn hình phụ: 5.54 inche0s, AMOLED, 120Hz, Corning Gorilla Glass Victus, 1080 x 2120 pixels, 18:9 ratio",,,"Camera góc rộng: 50 MP, f/1.8, PDAF, OIS
Camera tele: 32 MP, f/2.0, 2x optical zoom, PDAF
Camera góc siêu rộng: 48 MP, f/2.2,115˚","4K@30/60fps, 1080p@30/60/240fps, gyro-EIS, HDR",,"32 MP, f/2.4< Camera ở màn phụ: 32 MP, f/2.4","1080p@30fps, gyro-EIS",Snapdragon 8+ Gen 1 (4 nm),1x3.0 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510,Adreno 730,12 GB,256 GB,,4520 mAh,Sạc nhanh 67W,USB Type-C,2 SIM (Nano-SIM),"Android 13, ColorOS 13",,Không,Có,5G,"Wi-Fi 802.11 a/b/g/n/ac/6, tri-band","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Không gập: 132.2 x 140.5 x 7.4 mm
Gập: 132.2 x 72.6 x 14.6 mm",233 g,,,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển",,,,,,,,
729,Nokia 9.3,,,,6.7 inches,"P-OLED, Corning Gorilla Glass 5, HDR10+",,,,"108 MP, f/1.8, (wide), 1/1.33"", 0.8µm, PDAF, OIS
8 MP, (telephoto)
13 MP, (ultrawide)
TOF 3D, (depth)","8K@30fps, 4K@30/60fps, 1080p@30/60/120fps, gyro-EIS",,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,6 GB,128 GB,,Li-Po 5000 mAh,,,2 SIM (Nano-SIM),"Android 10, Android One",,,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX","A-GPS, GLONASS, BDS",,,,,,,,,,,,1440 x 2880 pixels,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
730,HTC Wildfire E Star,,,,6.5 inches,,,,,8MP,,,5MP,,Unisoc SC9832E,,,2 GB,16 GB,microSD,"3,000 mAh",Sạc 5W,USB Type-C,2 SIM (Nano-SIM),Android 12 Go,,Có,,4G,,v4.2,,164.8 x 76.5 x 9.2mm,200 g,,,,,,,,,,720 x 1600 pixel,,,,,
731,Masstel Izi 10,,,,1.77 inches,,,,,,,,,,Unisoc UMS9117,,Unisoc UMS9117,,128 MB,MicroSD,1000 mAh,,Micro-USB,2 SIM (Nano-SIM),,,Có,,4G,,v4.2,,50 x 12.8 x 121 mm,75 g,Nhựa,Nhựa,,,,,,,,128 x 160 pixels,,,,,
732,ZTE Axon 30S,,,,6.9 inches,AMOLED,"AMOLED, 1 tỉ màu, 120Hz",,,"Camera chính góc rộng: 64 MP, f/1.8
Cảm biến độ sâu: 2 MP, f/2.4
Camera macro: 5 MP, f/2.4
Camera góc siêu rộng: 8 MP, f/2.2, 120˚","4K@30 / 60fps
1080p@30fps
gyro-EIS, HDR, video 10 ‑ bit","Đèn flash LED kép, HDR, toàn cảnh","Camera góc rộng: 16 MP, f/2.5, dưới màn hình",1080p@30fps,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),"1x3,2 GHz Kryo 585 & 3x2,42 GHz Kryo 585 & 4x1,80 GHz Kryo 585",Adreno 650,8 GB,128 GB,microSDXC,4200 mAh,"Sạc nhanh 55W
Cung cấp điện qua USB
Sạc nhanh 4+",USB Type-C,2 SIM (Nano-SIM),Android 12,,Không,Có,5G,"Wi-Fi 802.11 a / b / g / n / ac / 6, băng tần kép, Wi-Fi Direct, điểm phát sóng","5.1, A2DP, LE","Có, với A-GPS, GLONASS, GALILEO, BDS","170,2 x 77,8 x 7,8 mm",189 g,Nhựa,Nhựa,,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,,2460x1080 pixels,,,,,
733,Nokia 5710 XpressAudio,,,,2.4 inches,TFT LCD,,,,0.3 MP,,,,,Unisoc T107 (22 nm),1.0 GHz Cortex-A7,,,128 MB,"microSDHC, hỗ trợ thẻ nhớ mở rộng lên đến 32GB","Li-Ion 1450 mAh
Thời gian đàm thoại trên điện thoại lên đến 6 tiếng với 4G
Tai nghe earbuds lên đến 2.4 tiếng đàm thoại và đến 4 tiếng nghe nhạc",Sạc 2.75W,,2 SIM (Nano-SIM),S30+,,Có,Không,4G,,"5.0, A2DP, LE",Không,138.9 x 57.7 x 16.2 mm,129.1 g,,,,,,,,,,240 x 320 pixels,,,,,
734,Infinix Zero 30,,,,6.78 inches,AMOLED,"Tần số quét 144Hz, 1 tỷ màu, 950 nits
Corning Gorilla Glass 5",,,"Camera góc rộng: 108 MP, f/1.7, 1/1.67"", PDAF, OIS
Camera góc siêu rộng: 13 MP, f/2.2, 120˚
2 MP, f/2.4","4K@30/60fps, 1080p@30/60fps","Đèn flash LED, HDR, toàn cảnh","Camera góc rộng: 50 MP, f/2.5, 1/2.76"", PDAF","4K@30/60fps, 1080p@30/60fps",Mediatek Dimensity 8020 (6 nm),4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55,Mali-G77 MC9,8 GB,256 GB,Không,5000mAh,Sạc nhanh 68W,USB Type-C,2 SIM (Nano-SIM),Android 13,Không,Không,Có,5G,802.11 a/b/g/n/ac/6,,GPS,164.5 x 75 x 7.9 mm,185 g,Kính,Nhựa,IP53,,Loa kép,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, La bàn, Con quay hồi chuyển",,09/2023,1080 x 2400 pixels (FullHD+),,,,,
735,Vivo iQOO Z7,,,,6.38 inches,AMOLED,"Tần số quét 90Hz, HDR10+, 1300 nits",,,"Camera góc rộng: 64 MP, 1/1.97"", 0.7µm, PDAF, OIS
Camera đo độ sâu: 2 MP, f/2.4","4K@30fps, 1080p@30fps","LED flash, HDR, panorama","Camera góc rộng: 16 MP, f/2.0",1080p@30fps,Mediatek Dimensity 920 (6 nm),2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55,Mali-G68 MC4,6 GB,128 GB,microSDXC,4500 mAh,Sạc nhanh 44W,USB Type-C,2 SIM (Nano-SIM),Android 13,Không,Có,Có,5G,802.11 a/b/g/n/ac/6,"v5.2, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",158.9 x 73.5 x 7.8 mm,173 g,,,IP54,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,03/2023,1080 x 2400 pixels (FullHD+),,Màn hình,,,
736,Vivo iQOO Z6,,,,6.58 inches,IPS LCD,,,,"Camera góc rộng: 50 MP, f/1.8, 26mm, PDAF
Máy ảnh macro: 2 MP, f/2.4
Camera góc sâu: 2 MP, f/2.4",1080p@30fps,"Đèn flash LED kép, HDR, toàn cảnh","Camera góc rộng: 16 MP, f/2.0",1080p@30fps,Snapdragon 695 5G (6 nm),"2x2,2 GHz Kryo 660 Gold & 6x1,7 GHz Kryo 660 Silver",Adreno 619,4 GB,128 GB,microSDXC,5000 mAh,Sạc nhanh 18W,USB Type-C,2 SIM (Nano-SIM),Android 12,,Có,Không,5G,"Wi-Fi 802.11 a / b / g / n / ac, băng tần kép, Wi-Fi Direct, điểm phát sóng","v5.1, A2DP, LE","Có, với A-GPS, GLONASS","164 x 75,8 x 8,3 mm",185 g,Nhựa,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,,1080 x 2408 pixels,,,,,
737,vivo IQOO Neo 8,,,,6.78 inches,AMOLED,"1 tỷ màu, tần số quét 144Hz, HDR10, 1300 nits",,,"Camera góc rộng: 50 MP, f/1.88, PDAF, OIS
Máy ảnh chiều sâu: 2 MP, f/2.4","8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","Đèn flash LED, HDR, toàn cảnh","Camera góc rộng: 16 MP, f/2.45",1080p@30fps,Snapdragon 8+ Gen 1 (4 nm),1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,Adreno 730,12 GB,256 GB,Không,5000 mAh,Sạc nhanh 120W,USB Type-C,2 SIM (Nano-SIM),Android 13,Có,Không,Có,5G,802.11 a/b/g/n/ac/6,v5.3,"GPS, GLONASS, GALILEO, BDS, QZSS",164.7 x 77 x 8.5 mm,192 g,Kính,Nhựa,,,Loa âm thanh nổi,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,05/2023,,,,,,
738,Samsung Galaxy M22,,,,6.4 inches,AMOLED,độ sáng 403 ppi,,,"Camera chính: 48 MP, f/2
Camera góc siêu rộng: 8 MP, f/2.2
Cảm biến độ sâu: 5 MP, f/2.2","2160p@30fps, 1080p@30fps, gyro-EIS",,13 MP,,Mediatek Helio G80,4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53,Mali-G72 MP3,4 GB,128 GB,,6000 mAh,Sạc nhanh 25W,,2 SIM (Nano-SIM),Android v11,,Có,,4G,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","A-GPS, GLONASS, BDS",159 x 75.1 x 8.9 mm,188 g,,,,,,Cảm biến vân tay mặt lưng,,,,1080 x 2340 pixels (FullHD+),,,,,
739,Xiaomi Redmi K40 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,Realme 4 Pro,,,,,,,,,,,,,,,,,,,,,,,2 SIM (Nano-SIM),,,,,,,,,Đang cập nhật,Đang cập nhật,,,,,,,,,,,,,,,
741,Xiaomi Mi 10 Pro Plus,,,,6.66 inches,"Super AMOLED capacitive touchscreen, 16M colors, Corning Gorilla Glass 5, HDR10+, 90Hz refresh rate, 500 nits typ. brightness",,,,"108 MP, f/1.7, (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS
12 MP, f/2.0, 50mm (telephoto), 1/2.55"", 1.4µm, Dual Pixel PDAF, 2x optical zoom
8 MP, f/2.0, (telephoto), 1.0µm, PDAF, OIS, 3.7x optical zoom, 5x hybrid zoom
20 MP, f/2.2, 13mm (ul","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240/960fps; gyro-EIS",,"20 MP, f/2.0, (wide), 1/3"", 0.9µm",,Qualcomm SM8250 Snapdragon 865+ (7 nm+),Octa-core (1x3.1 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,12 GB,256 GB,Không,"Li-Po 4500 mAh battery, Fast charging 50W, Power Delivery 3.0, Fast wireless charging 30W, Reverse wireless charging 5W",,,2 SIM (Nano-SIM),"Android 10, MIUI 12",true,,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot","5.1, A2DP, LE, aptX HD, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",162.5 x 74.8 x 9 mm (6.40 x 2.94 x 0.35 in),208 g (7.34 oz),,,,,,,,,,1080 x 2340 pixels (FullHD+),,,,"Cảm biến vân tay, cảm biến gia tốc, cảm biến tiệm cận, cảm biến sáng, con quay hồi chuyển, la bàn",
742,Xiaomi Black Shark 6,,,,,,,,,64 MP,,,,,Snapdragon 8 Gen 2,,,,,,5.000 mAh,Sạc nhanh 120 W,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Samsung Galaxy S22 Ultra (12GB - 256GB) - Chỉ có tại CellphoneS,"16.690.000đ
Khi thu cũ lên đời",17.190.000đ,33.990.000đ,6.8 inches,Dynamic AMOLED 2X,"Tần số quét 120Hz
Công nghệ HDR10+, 1750 nits",120Hz,Đục lỗ (Nốt ruồi),"108 MP, f/1.8 góc rộng
10 MP, f/4.9
10 MP, f/2.4
12 MP, f/2.2 góc siêu rộng","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+","Đèn LED kép, Quay video hiển thị kép, Chuyên nghiệp (Pro), Tự động lấy nét (AF) , HDR , Toàn cảnh (Panorama), Quay Siêu chậm (Super Slow Motion) , Làm đẹp","40 MP, f/2.2","4K@30/60fps, 1080p@30fps",Snapdragon 8 Gen 1 (4 nm),1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,Adreno 730,12 GB,256 GB,Không,5000 mAh,"Sạc pin nhanh 45W
Sạc không dây Qi
Sạc không dây ngược 4,5W",USB Type-C,2 Nano-SIM + eSIM,"Android 12, One UI 4.1",Không,Không,Có,5G,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot","5.2, A2DP, LE",GPS GLONASS GALILEO QZSS BEIDOU,163.3 x 77.9 x 8.9 mm,229 g,Kính,Kim loại,IP68,"Trợ lý ảo Samsung Bixby
Chặn cuộc gọi
Chặn tin nhắn
Thu nhỏ màn hình sử dụng một tay
Samsung Pay
Đa cửa sổ (chia đôi màn hình)
Samsung DeX (Kết nối màn hình sử dụng giao diện tương tự PC)
Tối ưu game (Game Booster)","Âm thanh AKG
Âm thanh Dolby Atmos",Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",02/2022,1440 x 3088 pixels (QHD+),,,,,Bút Spen
744,Xiaomi Civi 2,,,,,OLED,,,,"Chính 64 MP & Phụ 8 MP, 2 MP",,,32 MP,,Snapdragon 778G+ 5G 8 nhân,,,8 GB,128 GB,,4500 mAh55 W,,,,Android 12,,,,,,,,,,,,,,,,,,,,,,,,
745,Xiaomi Redmi 10 Prime Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Samsung Galaxy M31s,,,,6.5 inches,"Super AMOLED capacitive touchscreen, 16M colors, Corning Gorilla Glass 3",,,,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
12 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
5 MP, f/2.4, (depth)","4K@30fps, 1080p@30fps, gyro-EIS",,"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm",,Exynos 9611 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G72 MP3,6 GB,128 GB,microSDXC,"Li-Po 6000 mAh, Fast charging 25W",,,2 SIM (Nano-SIM),"Android 10, One UI 2.0",,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","A-GPS, GLONASS, GALILEO, BDS",159.3 x 74.4 x 9.3 mm,203 g,,,,,,,,,,1080 x 2400 pixels (FullHD+),,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
747,TECNO Spark Go 4GB 64GB,,,,6.6 inches,,,,,13 MP + QVGA đèn Led kép,,,5 MP,,,,,4GB + Mở rộng 3GB,64 GB,,5000 mAh,Sạc nhanh 10W,USB Type-C,2 SIM (Nano-SIM),,,,Có,4G,WiFi 2.4,v5.0,,163.84 x 75.59 x 8.9mm,190g,,,,OTG: Cho phép truyền dữ liệu giữa các thiết bị; Cung cấp dòng sạc 500mA cho các phụ kiện điện tử nhỏ.,,Cảm biến vân tay mặt lưng,,"Bảo mật vân tay, Nhận diện khuôn mặt",2023,,,,,,
748,Nubia Red Magic 6S (12GB - 128GB),,,,6.8 inches,AMOLED,,,,"Camera chính: 64 MP, f/1.8, PDAF
Camera góc siêu rộng: 8 MP, f/2.0
Camera cận cảnh: 2 MP","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps",,"8 MP, f/2.0",1080p@30fps,Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),1x3.0 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 68,Adreno 660,12 GB,128 GB,,Li-Po 5050 mAh,Sạc nhanh 30W,USB Type-C,2 SIM (Nano-SIM),"Android 11, Redmagic 4.5",,Có,Có,5G,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, aptX, LE","A-GPS, GLONASS, BDS, GALILEO",169.9 x 77.2 x 9.5 mm,215 g,,,,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển",,,1080 x 2400 pixels (FullHD+),,,,,
749,OnePlus Nord 2 CE,,,,6.43 inches,AMOLED,"90Hz, 20:9, Corning Gorilla Glass 5",90Hz,Đục lỗ (Nốt ruồi),"Camera chính góc rộng: 64 MP, f/1.8, PDAF
Camera góc siêu rộng: 8 MP, f/2.2
Camera macro: 2 MP, f/2.4","4K@30fps, 1080p@30/60/120fps, gyro-EIS",,"16 MP, f/2.4","1080p@30fps, gyro-EIS",MediaTek MT6877 Dimensity 900 5G (6 nm),2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55,Mali-G68 MC4,8 GB,128 GB,,Li-Po 4500 mAh,Sạc nhanh 65W,USB Type-C,2 SIM (Nano-SIM),"Android 12, OxygenOS 12",,Có,Có,5G,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.2, A2DP, LE, aptX HD","A-GPS, GLONASS, BDS, GALILEO",160.2 x 73.2 x 7.5 mm,,,,,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt",,1080 x 2400 pixels (FullHD+),,,,,
750,Xiaomi CIVI 3,,,,6.55 inches,AMOLED,"Tần số quét 120 Hz
68tỷ màu, Dolby Vision, HDR10+, 1000 nits
Corning Gorilla Glass 5",,,"Camera góc rộng: 50 MP, f/1.77, 1/1.49"", 1.0µm, PDAF, OIS
Camera góc siêu rộng: 8 MP, f/2.2, 115˚, 1.12µm
Camera macro: 2 MP, f/2.4","4K@30fps, 1080p@30/60/120fps, 720p@960fps; gyro-EIS","Đèn flash hai tông màu LED kép, HDR, toàn cảnh","Camera góc rộng: 32MP, f/2.0, 1/2.8"", 0.8µm, AF
Camera góc siêu rộng: 32 MP, 100˚, 1/2.8"", 0.8µm",1080p@30/60fps,Mediatek Dimensity 8200 (4 nm),1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55,Mali-G610 MC6,12 GB,256 GB,Không,4500 mAh,Sạc nhanh 67W,USB Type-C,2 SIM (Nano-SIM),Android 13,Có,Không,Có,5G,802.11 a/b/g/n/ac/6,v5.3,"GPS (L1), GLONASS (G1), BDS (B1I+B1c), GALILEO (E1), QZSS (L1)",158.7 x 71.7 x 7.6 mm,174 g,Kính,Nhôm,,,Loa âm thanh nổi,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,05/2023,1080 x 2400 pixels (FullHD+),,,,,
751,iPhone 14 Pro 128GB | Chính hãng VN/A,"22.390.000đ
Khi thu cũ lên đời",24.390.000đ,27.990.000đ,6.1 inches,Super Retina XDR OLED,"Công nghệ ProMotion với tần số quét 120Hz
Tỷ lệ tương phản 2.000.000: 1
Độ sáng tối đa: 1.000 nits (điển hình), 1.600 nits (HDR), 2.000 nits (ngoài trời)",120Hz,Dynamic Island,"Camera chính: 48 MP, f/1.8, 24mm, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 120˚, 1.4µm
Camera tele: 12 MP, f/2.8, PDAF, OIS, 3x optical zoom
Cảm biến độ sâu TOF 3D LiDAR","4K @24 fps, 25 fps, 30 fps, 60 fps
1080p @25 fps, 30 fps, 60 fps
720p @30 fps
4K HDR @30 fps
2.8K @ 60 fps
HDR với Dolby Vision @60 fps
ProRes 4K @ 30fps
Chuyển động chậm 1080p @ 120fps, 240 fps","Zoom quang học 6x
Zoom kỹ thuật số lên đến 15x
Đèn flash True Tone
HDR
Chân dung với bokeh
Chế độ ban đêm
Chụp chân dung đêm
Toàn cảnh (lên đến 63MP) (LiDAR Scanner)
Apple ProRAW
Smart HDR 4","Camera selfie: 12 MP, f/1.9, 23mm, PDAF","4K @24 fps, 25 fps, 30 fps or 60 fps
1080p @25 fps, 30 fps or 60 fps
4K HDR @30 fps
HDR với Dolby Vision 4K @60fps
ProRes 1080p @30fps
Slow-motion 1080p @240fps",Apple A16 Bionic 6 nhân,6 nhân,GPU 5 nhân,6 GB,128 GB,Không,3200 mAh,"Sạc nhanh 20W
Sạc không dây MagSafe 15W
Sạc không dây Qi 7,5W",Lightning,2 SIM (nano‑SIM và eSIM),iOS 16,,Không,Có,5G,Wi‑Fi 6 (802.11ax) with 2x2 MIMO,Bluetooth 5.3,"BEIDOU, GALILEO, GPS, QZSS, iBeacon, GLONASS",Dài 174.5mm - Ngang: 71.5mm - Dày 7.85mm,206g,Kính,Kim loại,IP68,"Phát hiện va chạm (Crash Detection)
Màn hình luôn hiển thị AOD
Chạm 2 lần sáng màn hình
Apple Pay",Loa kép,Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",09/2022,2556 x 1179 pixels,,,,,
752,OPPO A79,,,,6.72 inches,,"Tần số quét 90Hz, 96% NTSC, 16,7 triệu màu, 391 PPI, 680nits",,,"Camera chính: 50MP: f/1.8; FOV 77°; Ống kính 5P; hỗ trợ AF và sử dụng động cơ vòng hở
Camera phụ 2MP: f/2.4; FOV 89°; Ống kính 3P; hỗ trợ FF","1080P@30fps
720P@30fps;",,8MP; f/2.0; FOV 80°; 4P lens,"1080P@30fps
720P@30fps;",Dimensity 6020,8 cores,Mali-G57 MC2@950MHz,8 GB,128 GB,,5000mAh,Sạc nhanh 33W,USB Type-C,2 SIM (Nano-SIM),,,Có,,5G,"2.4GHz, 5GHz",v5.3,Beidou: B11; GPS: L1; GLONASS: G1; Galileo: E1; QZSS: L1,16.56 x 7.60 x 0.799 cm,193g,,,,,Loa âm thanh nổi kép,,"Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến trọng lực",,,1080 x 2400 pixels (FullHD+),,,,,
753,Xiaomi Black Shark 6 RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Realme GT Neo 6,,,,6.71 inches,Super AMOLED,Tốc độ làm mới 120 Hz,,,50 MP + 8 MP + 2 MP,,,16 MP,,Snapdragon 8 Gen 2,,,12 GB,128 GB,,5.000 mAh,,,,,,,,,,,,,,,,,,,,,,,,,Màn hình,,,
755,Vivo Y32t,,,,6.51 inches,IPS LCD,,,,Camera kép: Chính 13 MP + macro 2 MP.,,,8 MP,,Helio G70,,,8 GB,128 GB,,5.000 mAh,Sạc nhanh 18W,Micro-USB,,,,Có,,4G,Wi-Fi băng tần kép,v4.2.,,,,,,,,,Cảm biến vân tay cạnh bên,,,,,,,,,
756,iPhone 15 Pro Max 1TB | Chính hãng VN/A,"40.490.000đ
Khi thu cũ lên đời",44.490.000đ,46.990.000đ,6.7 inches,Super Retina XDR OLED,"Tốc độ làm mới 120Hz
460 ppi
HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",120Hz,Dynamic Island,"Camera chính: 48MP, 24 mm, ƒ/1.78,
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele 5x: 12 MP, 120 mm, ƒ/2.8
Camera Tele 2x: 12 MP, 48 mm, ƒ/1.78","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps
HD 720p@30 fps","Flash True Tone Thích Ứng
Photonic Engine
Deep Fusion
HDR thông minh thế hệ 5
Ảnh chân dung thế hệ mới với Focus và Depth Control
Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
Chế độ Ban Đêm","12MP, ƒ/1.9","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps",A17 Pro,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,GPU 6 nhân mới,8 GB,1 TB,Không,4422 mAh,"Sạc nhanh
Sạc không dây 15W
Sạc không dây Qi 7.5W",USB Type-C,2 SIM (nano‑SIM và eSIM),iOS 17,Có,Không,Có,5G,Wi‑Fi 6E (802.11ax),5.3,"GPS tần số kép chính xác (GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC)","159,9 x 76,7 x 8,25 mm",221 g,Kính,Titanium,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút),"SOS Khẩn Cấp
Phát Hiện Va Chạm","AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus và Dolby Atmos",Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",,2796 x 1290-pixel,Camera TrueDepth hỗ trợ nhận diện khuôn mặt,,,,
