Bluetooth,Bộ nhớ trong,Camera sau,Camera trước,Chipset,Chất liệu,Cảm ứng,Dung lượng Pin,GPS,Ghi âm,Hệ điều hành,Hỗ trợ sạc tối đa,Hỗ trợ thẻ nhớ ngoài,Jack 3.5mm,Kích thước màn hình,Kích thước sản phẩm,Link,Loại SIM,Loại màn hình,Model,Màu sắc,Mạng 4G,Mạng 5G,Mở khóa nhanh,NFC,Name,Nhà sản xuất,Năm ra mắt ,Price,RAM,Radio,Thiết kế,Thời gian bảo hành,Tiện ích khác ĐTDĐ,Tần số quét màn hình,USB,WIFI,Xuất xứ,Đèn Flash,Địa điểm bảo hành,Độ phân giải màn hình,CPU,Chống nước,Khối lượng sản phẩm (gram),Loại pin,Phụ kiện trong hộp,Sạc kèm theo máy (W),Số khe SIM,Video,Độ sáng tối đa,Jack tai nghe,Khối lượng sản phẩm (kg),Loa ngoài,Mạng 3G,Màn hình tràn viền
Bluetooth 5.0,128 GB,"50MP, 2MP",8 MP,Qualcomm Snapdragon 680,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,,5000 mAh,Có,Có,Android 12 (ColorOS 12.1),Sạc siêu nhanh SUPERVOOC 33W,Có,Có,"6.56 """,163.4 x 75.03 x 7.99 mm,https://www.nguyenkim.com/dien-thoai-oppo-a77s-8gb-128gb-den.html,,IPS LCD,A77S (CPH2473),Đen,Hỗ trợ 4G,,Cảm biến vân tay (cạnh bên),,Điện thoại OPPO A77s 8GB/128GB Đen,OPPO,10/2022,4.790.000,8 GB,,Nguyên khối,12 Tháng,,90 Hz,Type C,Wi-Fi 802.11 a/b/g/n/ac,Trung Quốc,,Nguyễn Kim,HD+ (1612 x 720) pixels,,IPX4,,,,,2 Nano SIM,,,,,,,
Bluetooth 5.1,128GB,"50MP (Rộng), 2MP (Cận cảnh)",8MP,MT6762,Nhựa,,5000mAh,"GPS/Glonass/Galileo, with A-GPS",,Android 12,,Tối đa 512GB,Hỗ trợ,"6.6 """,164.66 x 75.4 x 8.99 mm,https://www.nguyenkim.com/dien-thoai-tcl-408-4gb-128gb-xanh.html,Nano SIM,HD+,TCL408 (T507U),Xanh,"B1/3/5/7/8/13/20/28/38/40/41; Cat 4 DL 150Mbit/s, Cat5 UL 75Mbit/s",Không hỗ trợ,,Có hỗ trợ,Điện thoại TCL 408 4GB/128GB Xanh,TCL,2023,2.490.000,4GB,Không hỗ trợ,Nguyên khối,18 Tháng,,,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Trung Quốc,,Nguyễn Kim,HD+ (720x1612) pixels,4x A53 2.0GHz + 4x A53 1.5GHz,,190 gram,,"Củ sạc, USB cáp, tấm dán màn hình, HDSD",,2 Nano SIM,"1080P@30fps, MPEG2, H.263, MPEG4, H.264, H.265, VP8, VP9",400nits,Hỗ trợ,,Hỗ trợ,"B1/2/4/5/8; HSPA+ (42Mbps DL, 11Mbps UL)",
Bluetooth 5.1,256GB,"50MP (main), 2MP (depth), 2MP (macro)",8MP,MediaTek Helio G37,Nhựa,,5010mAh,"support BDS/GPS/Glonass/Galileo, with A-GPS",,Android 13,,Tối đa 1TB,Hỗ trợ,"6.75 """,167.91x76.5x8.45 mm,https://www.nguyenkim.com/dien-thoai-tcl-40se-6gb-256gb-tim.html,Nano SIM,HD+,TCL40SE (T610K),Tím,B1/3/5/7/8/13/20/28/38/40/41 (2496-2690MHz ),Không hỗ trợ,,Có hỗ trợ,Điện thoại TCL 40SE 6GB/256GB Tím,TCL,2023,3.390.000,6GB,Không hỗ trợ,Nguyên khối,18 Tháng,,90Hz,Type-C,"802.11 a/b/g/n/ac ,Wi-Fi direct, Wi-Fi display",Việt Nam,,Nguyễn Kim,HD+ (720x1600) pixels,7 x Cortex-A53 @ 2.3GHz+4 x Cortex-A53 @ 1.8GHz,,190 gram,,"Củ sạc, USB cáp, tấm dán màn hình, HDSD",,2 Nano SIM,"AAC, HE-AAC v1, HE-AAC v2, AMR, AWB, MIDI, MP3, OGG VORBIS, WAV( Alaw/ Ulaw), WAV(Raw), FLAC,OPUS",450nits,Hỗ trợ,,Hỗ trợ,B1/2/5/8,
Bluetooth 5.1,128GB,"50MP (main), 2MP (depth), 2MP (macro)",8MP,MediaTek Helio G37,Nhựa,,5010mAh,"support BDS/GPS/Glonass/Galileo, with A-GPS",,Android 13,,Tối đa 1TB,Hỗ trợ,"6.75 """,167.91x76.5x8.45 mm,https://www.nguyenkim.com/dien-thoai-tcl-40se-4gb-128gb-tim.html,Nano SIM,HD+,TCL40SE (T610K),Tím,B1/3/5/7/8/13/20/28/38/40/41 (2496-2690MHz ),Không hỗ trợ,,Có hỗ trợ,Điện thoại TCL 40SE 4GB/128GB Tím,TCL,2023,2.850.000,4GB,Không hỗ trợ,Nguyên khối,18 Tháng,,90Hz,Type-C,"802.11 a/b/g/n/ac ,Wi-Fi direct, Wi-Fi display",Trung Quốc,,Nguyễn Kim,HD+ (720x1600) pixels,5 x Cortex-A53 @ 2.3GHz+4 x Cortex-A53 @ 1.8GHz,,190 gram,,"Củ sạc, USB cáp, tấm dán màn hình, HDSD",,2 Nano SIM,"AAC, HE-AAC v1, HE-AAC v2, AMR, AWB, MIDI, MP3, OGG VORBIS, WAV( Alaw/ Ulaw), WAV(Raw), FLAC,OPUS",450nits,Hỗ trợ,,Hỗ trợ,B1/2/5/8,
v5.2,128GB,"50MP, 2MP, 2MP",13 MP,Mediatek MT6833 Dimensity 700 (7 nm),Khung & Mặt lưng nhựa,,5000mAh,Có,Có,"Android 13, One UI Core 5",15 W,"MicroSD, hỗ trợ tối đa 1 TB",Yes,"6.6 """,167.7 x 78 x 9.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a14-5g-4gb-128gb-den.html,2 Nano SIM,PLS LCD,SM-A146P/DS,Đen,,Yes,Mở khóa bằng vân tay,,Điện thoại Samsung Galaxy A14 5G 4GB/128GB Đen,Samsung,2023,3.890.000,4GB,Có,Nguyên khối,12 Tháng,,90 Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi hotspot, Wi-Fi Direct,Dual-band (2.4 GHz/5 GHz)",Việt Nam,Yes,Nguyễn Kim,1080 x 2408 pixels,,,,,,,,,,,,,,
"5.1, A2DP, LE",128 GB,"50MP, 5MP, 2MP",13 MP,Exynos 850 8 nhân,,,5000mAh,"GPS, GALILEO, GLONASS, BDS, QZSS",Có,"Android 13, One UI Core 5",15 W,MicroSD (lên đến 1TB),Có,"6.6 """,167.7 x 78 x 9.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a14-do.html,Nano SIM,PLS LCD,A14 (SM-A145F/DS),Đỏ,Hỗ trợ 4G,,Cảm biến vân tay,,Điện thoại Samsung Galaxy A14 4G 4GB/128GB Đỏ,Samsung,2023,3.090.000,4 GB,,Nguyên khối,12 Tháng,,60 Hz,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Việt Nam,Có,Nguyễn Kim,FHD+ 1080 x 2408 pixels,,,,,,,2,1080p@30fps,,,0.201 kg,Âm thanh vòm Dolby Atmos,,
Bluetooth 5.3,512GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.7 """,159.9 x 76.7 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-max-512gb-black-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PROMAX512GB,Titan Đen,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro Max 512GB Titan Đen,iPhone,2023,39.990.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2796 x 1290 pixels,Hexa-core (2x + 4x),IP68,221 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
Bluetooth 5.3,128GB,"Camera Chính 48MP, Camera Ultra Wide 12MP",12MP,Apple A16 Bionic,"Khung Nhôm, mặt trước Ceramic Shield, mặt sau Kính pha màu",,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, và BeiDou",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,Không,Không,"6.7 """,160.9 x 77.8 x 7.8 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-plus-128gb-pink-vi.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PLUS128GB,Hồng,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Plus 128GB Hồng,iPhone,2023,25.490.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6 (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2796 x 1290 pixels,,IP68,201 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,Có,,
v5.2,128GB,"50MP, 2MP, 2MP",13 MP,Mediatek MT6833 Dimensity 700 (7 nm),Khung & Mặt lưng nhựa,,5000mAh,Có,Có,"Android 13, One UI Core 5",15 W,"MicroSD, hỗ trợ tối đa 1 TB",Yes,"6.6 """,167.7 x 78 x 9.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a14-5g-4gb-128gb-bac.html,2 Nano SIM,PLS LCD,SM-A146P/DS,Bạc,,Yes,Mở khóa bằng vân tay,,Điện thoại Samsung Galaxy A14 5G 4GB/128GB Bạc,Samsung,2023,3.890.000,4GB,,Nguyên khối,12 Tháng,,90 Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi hotspot, Wi-Fi Direct,Dual-band (2.4 GHz/5 GHz)",Việt Nam,Yes,Nguyễn Kim,1080 x 2408 pixels,,,,,,,,,,,,,,
Bluetooth 5.3,512GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.7 """,159.9 x 76.7 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-max-512gb-blue-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PROMAX512GB,Titan Xanh,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro Max 512GB Titan Xanh,iPhone,2023,39.890.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2796 x 1290 pixels,Hexa-core (2x + 4x),IP68,221 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
v5.3,256GB,50MP + 12MP + 10MP,Camera trước ở màn hình phụ: 10 MP. Camera ẩn dưới màn hình: 4 MP,Snapdragon® 8 Gen 2 dành cho Galaxy,Khung viền: Armor aluminum và mặt lưng Gorilla Glass Victus 2,Có,4400mAh,"GPS,Glonass,Beidou,Galileo,QZSS",Có,"Android 13, One UI 5.1.1",Sạc nhanh 25W,Không,Không,"Chính 7.6"". Phụ 6.2 """,Mở: 154.9 x 129.9 x 6.1 mm. Đóng: 154.9 x 67.1 x 13.4 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-z-fold-5-5g-12gb-256gb-xanh-duong.html,Nano-sim & E-sim,Dynamic AMOLED 2X,FOLD 5 256GB (SM-F946B),Xanh Dương,,Có,"Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền",Có,Điện thoại Samsung Galaxy Z Fold 5 5G 12GB/256GB Xanh dương,Samsung,2023,30.490.000,12GB,Không,"Nguyên khối, Màn hình gập",12 Tháng,Samsung Pay,120Hz,Type-C,"802.11 a/b/g/n/ac/ax 2.4G+5GHz+6GHz, HE160, MIMO, 1024-QAM",Việt Nam,Có,Nguyễn Kim,Chính 1812 x 2176 pixels. Phụ: 904 x 2316 pixels,,IPx8,253g,,,,,UHD 8K (7680 x 4320)@30fps,,Không,,Có,,
Bluetooth 5.3,128GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.1 """,146.6 x 70.6 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-128gb-blue-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PRO128GB,Titan Xanh,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro 128GB Titan Xanh,iPhone,2023,27.490.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2556 x 1179 pixels,Hexa-core (2x + 4x),IP68,187 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
,128GB,"Góc siêu rộng 12MP, Góc rộng 12MP, Tele 8MP",32 MP,Exynos 2100,,,"4,500mAh; Hỗ trợ sạc siêu nhanh 25W",,,,,,,"6.4 """,155.7 x 74.5 x 7.9 mm,https://www.nguyenkim.com/dien-thoai-samsung-s21-fe-5g-8gb-128gb-tim.html,,"Dynamic AMOLED 2X, Tần số quét 120 Hz",SM-G990E/DS,Tím,Kết nối 5G,,,,Điện thoại Samsung S21 FE 5G 8GB/128GB Tím,Samsung,,10.290.000,8GB,,Nguyên khối,12 Tháng,,,,,Việt Nam,,Nguyễn Kim,Full HD+ (1080 x 2340) pixels,,"Kháng nước, kháng bụi IP68",,,,,,,,,,,,
Bluetooth 5.1,64GB,Chính 50MP,5MP,MediaTek Helio G85,Đang cập nhật,,5000mAh,"GPS, GLONASS, GALILEO, BEIDOU",Có,Android 13,10 W,"MicroSD, lên đến 1TB",Có,"6.71 """,168.8x76.4x8.8 mm,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-12c-4gb-64gb-xanh-duong.html,Nano SIM,IPS LCD,REDMI12C(4+64),Xanh Dương,Hỗ trợ 4G,,"Cảm biến vân tay, Mở khóa khuôn mặt",,Điện thoại Xiaomi Redmi 12C 4GB/64GB Xanh dương,Xiaomi,2023,2.590.000,4 GB,,Đang cập nhật,18 Tháng,,60 Hz,Micro USB,Wifi 802.11a/b/g/n/ac,Trung Quốc,Có,Nguyễn Kim,HD+ (1650 × 720) pixels,,,,,,,2,,,,0.192 kg,,,
Bluetooth 5.2,128GB,"108MP (Chính Prolight), 2MP (chân dung)",16MP,Chip Helio G99,"Khung viền Nhựa, mặt lưng Thủy tinh acrylic",Có,5000mAh,"GPS, AGPS, Beidou, Glonass, Galileo",Có,Realme UI 4.0 trên nền tảng Android 13,SuperVOOC 67W,Hỗ trợ tối đa 1 TB,,"6.4 """,159.9 x 73.3 x 7.95 mm,https://www.nguyenkim.com/dien-thoai-realme-11-4g-8gb-128gb-vang.html,2 nano SIM + 1 khe thẻ nhớ,Super AMOLED,REALME 11 8-128GB (RMX3636),Vàng,Hỗ trợ,,Mở khoá vân tay cạnh viền,,Điện thoại Realme 11 4G 8GB/128GB Vàng,Realme,2023,6.390.000,8GB,Không,Nguyên khối,12 Tháng,,90Hz,Type-C,"IEEE802.11 a/b/g/n/ac (WiFi 4, WiFi 5）",Trung Quốc,Có,Nguyễn Kim,Full HD+ (2400x1080) pixels,,Không,178g,,"Cáp USB Type-C, Củ sạc 67W, Ốp lưng bảo vệ, Que lấy SIM, Miếng dán màn hình dán sẵn, Sách hướng dẫn sử dụng sản phẩm, Thông tin quan trọng về sản phẩm và Phiếu bảo hành",,,"HDR, Slow Motion",,3.5mm,,,,
v5.3,256 GB,"100MP, 2MP, 2MP",32 MP,MediaTek Helio G99,Khung hợp kim & Mặt lưng thuỷ tinh hữu cơ,,5000mAh,"GPS, GALILEO, BEIDOU, GALILEO, QZSS","Ghi âm mặc định, Ghi âm cuộc gọi",Android 13,Sạc siêu nhanh SuperVOOC 33 W,"Có, MicroSD",Có,"6.4 """,160.8 x 73.84 x 7.85 mm,https://www.nguyenkim.com/dien-thoai-oppo-reno8-t-8gb-256gb-cam.html,Nano,AMOLED,RENO8T (CPH2481),Cam,Hỗ trợ 4G,,"Mở khoá khuôn mặt, Mở khoá vân tay dưới màn hình",,Điện thoại OPPO Reno8 T 8GB/256GB Cam,OPPO,2023,6.990.000,8GB,,Nguyên khối,12 Tháng,,90 Hz,Type-C,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi hotspot",Trung Quốc,LED Flash,Nguyễn Kim,Full HD+ (1080 x 2400) pixels,,IP54,,,,,2,,,3.5mm,,,,
,256 GB,50 MP F1.8 OIS (Rộng); 12 MP F2.2 (Siêu Rộng); 5 MP F2.4 (Cận cảnh),32MP F2.2,Exynos 1380 8 nhân,Mặt lưng kính,,5000 mAh,,,"Android 13, One UI 5",Tối đa 25W,Thẻ nhớ tối đa 1TB,,"6.4 """,158.2 x 76.7 x 8.2 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a54-5g-8gb-256gb-xanh.html,Nano SIM,"Super AMOLED, 1000 nits, Eye-care giảm tới 50% ánh sáng xanh",A54 5G (SM-A546E/DS),Xanh,,Hỗ trợ 5G,Vân tay trong màn hình,,Điện thoại Samsung Galaxy A54 5G 8GB/256GB Xanh,Samsung,2023,8.990.000,8 GB,,,12 Tháng,,120 Hz,Type-C,,Việt Nam,,Nguyễn Kim,FHD+ pixels,,IP67,,,,,,,,,0.202 kg,Loa kép âm thanh vòm Dolby Atmos,,
Bluetooth 5.3,256GB,"Camera Chính 48MP, Camera Ultra Wide 12MP",12MP,Apple A16 Bionic,"Khung Nhôm, mặt trước Ceramic Shield, mặt sau Kính pha màu",,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, và BeiDou",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,Không,Không,"6.1 """,147.6 x 71.6 x 7.8 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-256gb-black-vi.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15256GB,Đen,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 256GB Đen,iPhone,2023,24.990.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6 (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2556 x 1179 pixels,,IP68,171 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,Có,,
"5.1, A2DP, LE",128 GB,"50MP, 5MP, 2MP",13 MP,Exynos 850 8 nhân,,,5000mAh,"GPS, GALILEO, GLONASS, BDS, QZSS",Có,"Android 13, One UI Core 5",15 W,MicroSD (lên đến 1TB),Có,"6.6 """,167.7 x 78 x 9.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a14-bac.html,Nano SIM,PLS LCD,A14 (SM-A145F/DS),Bạc,Hỗ trợ 4G,,Cảm biến vân tay,,Điện thoại Samsung Galaxy A14 4G 4GB/128GB Bạc,Samsung,2023,3.090.000,4 GB,,Nguyên khối,12 Tháng,,60 Hz,USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Việt Nam,Có,Nguyễn Kim,FHD+ 1080 x 2408 pixels,,,,,,,2,1080p@30fps,,,0.201 kg,Âm thanh vòm Dolby Atmos,,
Bluetooth 5.3,256GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.1 """,146.6 x 70.6 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-256gb-black-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PRO256GB,Titan Đen,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro 256GB Titan Đen,iPhone,2023,30.490.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2556 x 1179 pixels,Hexa-core (2x + 4x),IP68,187 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
v5.0,128 GB,"Chính 50 MP & Phụ 8 MP, 2 MP",13MP,Snapdragon 685 8 nhân,Đang cập nhật,,5000mAh,GPS; GLONASS; GALILEO,Có,Android 13,33 W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.67 """,165.66 x 75.96 x 7.85 mm,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-note-12-4gb-128gb-xanh-la.html,2 Nano Sim,AMOLED,REDMINOTE12(4+128),Xanh Lá,Hỗ trợ 4G,,Cảm biến vân tay; Nhận diện khuôn mặt,,Điện thoại Xiaomi Redmi Note 12 4GB/128GB Xanh lá,Xiaomi,2023,3.990.000,4 GB,,Đang cập nhật,18 Tháng,,120 Hz,Type-C,Wi-Fi 802.11 a/b/g/n/ac; Dual-band (2.4 GHz/5 GHz),Trung Quốc,Đèn LED kép,Nguyễn Kim,Full HD+ (1080 x 2400) pixels,,IP53,,,,,,HD 720p@30fps; FullHD 1080p@30fps,,3.5mm,"0,1835 kg",,,
V4.2,64 GB,8 MP,5 MP,Unisoc SC9863A1,,Kính thường,5000 mAh,GPSGLONASS,Có,"Android 12, Realme UI Go",,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.5 """,164.1 x 75.6 x 8.5 mm,https://www.nguyenkim.com/dien-thoai-realme-c30s-3gb-64gb-xanh.html,2 Nano SIM,IPS LCD,REALMEC30S(3-64),Xanh hồ,Hỗ trợ 4G,,Vân tay cạnh viền,,Điện thoại Realme C30s 3GB/64GB Xanh hồ,Realme,2022,2.290.000,3 GB,,Nguyên khối,12 Tháng,,,Micro USB,2.4GHz,Trung Quốc,Có,Nguyễn Kim,HD+ (720 x 1600) pixels,"ARM Cortex-A55, lên đến 1.6GHz",,,,,,,"Hỗ trợ quay phim 1080P/30fps, 720P/30fps, 480P/30fp",,,,,,
V4.2,64 GB,8 MP,5 MP,Unisoc SC9863A1,,Kính thường,5000 mAh,GPSGLONASS,Có,"Android 12, Realme UI Go",,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.5 """,164.1 x 75.6 x 8.5 mm,https://www.nguyenkim.com/dien-thoai-realme-c30s-3gb-64gb-den.html,2 Nano SIM,IPS LCD,REALMEC30S(3-64),Đen nhám,Hỗ trợ 4G,,Vân tay cạnh viền,,Điện thoại Realme C30s 3GB/64GB Đen nhám,Realme,2022,2.290.000,3 GB,,Nguyên khối,12 Tháng,,,Micro USB,2.4GHz,Trung Quốc,Có,Nguyễn Kim,HD+ (720 x 1600) pixels,"ARM Cortex-A55, lên đến 1.6GHz",,,,,,,"Hỗ trợ quay phim 1080P/30fps, 720P/30fps, 480P/30fp",,,,,,
Bluetooth 5.3,256GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.1 """,146.6 x 70.6 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-256gb-natural-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PRO256GB,Titan Tự Nhiên,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro 256GB Titan Tự Nhiên,iPhone,2023,31.490.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2556 x 1179 pixels,Hexa-core (2x + 4x),IP68,187 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
5.1,256 GB,3 camera AI 108MP+8MP+2MP,16MP,MediaTek Helio G96,,,5000 mAh,Có,,"MIUI 14, nền tảng Android 13",Sạc nhanh 33W,MicroSD,Có,"6.43 """,159.87 x 73.87 x 8.09 mm,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-note-12s-8gb-256gb-den.html,2 SIM + MicroSD,AMOLED,REDMINOTE12S(8+256),Đen,Hỗ trợ 4G,,"Mở khóa vân tay cạnh viền, Mở khóa gương mặt AI",Có,Điện thoại Xiaomi Redmi Note 12S 8GB/256GB Đen,Xiaomi,2023,5.650.000,8 GB,,,18 Tháng,,90 Hz,Type-C,"Wifi 2.4GHz, 5GHz",Trung Quốc,,Nguyễn Kim,Full HD+ (1080 x 2400) pixels,"CPU 8 nhân, tốc độ lên đến 2.05GHz",Kháng nước IP53,,,Bộ sạc 33W kèm hộp,,2,,,,0.176 kg,,,
